Distance (µm),C Wt%,Si Wt%,O Wt%,F Wt%,K Wt%,Na Wt%,Ti Wt%,Fe Wt%,B Wt%,
0.647956689521764,12.00145,81.72177,0.928765,0.609602,3.526305,0.258781,0.01809,0.935232,0,
0.651790752773372,11.34977,82.74613,1.569206,0.8634,2.314734,0.575794,0.580964,0,0,
0.65562481602498,12.05686,83.2866,0.286576,1.364607,2.55429,0.054382,0.39669,0,0,
0.659458879276588,10.55999,83.92743,1.600701,0.785193,2.286496,0,0.213816,0.626377,0,
0.663292942528196,11.00442,82.53381,1.266192,1.030827,2.655819,0.224672,0.031533,0,1.252729,
0.667127005779805,12.71295,80.88476,0.624056,1.022941,3.974146,0,0.494083,0.287064,0,
0.670961069031413,12.18729,82.26392,0.556282,1.726342,2.003638,0.564926,0.395729,0.301868,0,
0.674795132283021,11.95936,83.09417,0.567409,1.193365,2.254242,0.353929,0,0.577526,0,
0.678629195534629,9.629054,85.73592,0.834106,0.59867,2.742844,0.169491,0.289909,0,0,
0.682463258786237,10.5681,84.8981,0.257251,0.720563,1.97961,0.623466,0,0,0.952912,
0.686297322037845,12.38733,85.07903,0.52527,0.810085,0.742041,0,0,0.456248,0,
0.690131385289453,11.68557,83.32315,0.708737,0.827004,2.202474,0,0.346288,0.906774,0,
0.693965448541061,14.45813,81.02553,1.010433,0.695751,1.919196,0,0.546622,0.344342,0,
0.697799511792669,12.96905,82.6058,1.282647,0.463344,1.51476,0,0.76587,0.398521,0,
0.701633575044277,15.34113,82.08595,1.109486,0.554124,0.52356,0.385748,0,0,0,
0.705467638295885,13.33822,83.93555,0.589743,0.759286,1.309659,0,0.067535,0,0,
0.709301701547494,11.69476,85.54753,0.479503,0.78676,1.320428,0,0.006638,0,0.164376,
0.713135764799102,11.17149,84.40335,0.354984,1.274062,1.349896,0.116416,0,0,1.329807,
0.71696982805071,14.40189,82.18943,0.87583,0.789384,0.833144,0.356831,0,0.553494,0,
0.720803891302318,12.89437,82.27051,0.591368,0.967513,2.432794,0.270411,0.573043,0,0,
0.724637954553926,10.56189,86.85965,0.548222,0.901101,0.776557,0,0,0.175754,0.176826,
0.728472017805534,10.74986,85.83781,0.776266,0.987149,1.373303,0.275608,0,0,0,
0.732306081057142,9.687001,86.60542,0.608429,1.427105,1.672051,0,0,0,0,
0.73614014430875,12.35439,84.20833,0.201659,1.152362,1.979803,0,0,0,0.103457,
0.739974207560358,11.01347,85.96938,1.087355,0.212843,1.318461,0,0,0,0.398497,
0.743808270811966,11.46312,84.5964,1.052988,0.995485,1.629155,0,0,0.262853,0,
0.747642334063574,10.78704,84.61589,0.077804,2.087851,1.529682,0,0.489562,0,0.41217,
0.751476397315182,12.16348,83.93179,0.721676,0.837146,1.380593,0.081957,0.883358,0,0,
0.75531046056679,11.4937,85.43468,0.458646,0.852784,1.316693,0.035653,0,0.048386,0.359461,
0.759144523818399,10.88822,84.03807,1.378605,0.448207,2.247287,0,0,0,0.99961,
0.762978587070007,10.35905,86.27138,0.721301,0.621613,0.488964,0,0,0.48927,1.048433,
0.766812650321615,12.27265,84.05585,0.272567,0.629662,1.812039,0.37236,0.382905,0.201959,0,
0.770646713573223,12.09544,85.20173,0.408232,1.285026,0,0.278126,0,0.404917,0.326527,
0.774480776824831,11.84399,86.69153,0.647565,0.531028,0,0.285889,0,0,0,
0.778314840076439,11.82278,85.54463,0.749633,0.266411,0.697201,0,0.40839,0.51095,0,
0.782148903328047,13.38073,84.59257,0.323121,0.36255,0.806113,0.050647,0,0.245208,0.239061,
0.785982966579655,9.696449,85.97289,0.947127,0,1.499224,0,0,0.899786,0.984524,
0.789817029831263,11.29534,84.39406,1.516169,1.001207,1.137011,0.212675,0,0.443545,0,
0.793651093082871,12.09229,85.1318,0.28606,1.482987,1.006863,0,0,0,0,
0.797485156334479,11.45115,85.84961,0.596941,0.363214,1.244435,0,0.362435,0.132216,0,
0.801319219586087,10.86944,84.76167,0.901463,1.352916,1.387372,0.434243,0.038583,0.254308,0,
0.805153282837695,12.27046,85.90635,0.484723,0.090029,0.612913,0,0,0.635522,0,
0.808987346089303,12.14194,83.34109,1.522129,1.053127,0.885899,0,1.05581,0,0,
0.812821409340912,13.97689,84.36847,0.931123,0.330768,0.266796,0,0.125955,0,0,
0.816655472592519,11.94095,85.8531,0.949761,0.525572,0.730624,0,0,0,0,
0.820489535844128,10.26728,87.29176,0.673074,0.579582,0.511796,0.00164,0.136072,0.292249,0.246549,
0.824323599095736,11.61513,85.64,1.057013,0.536308,0.668003,0.259547,0.224004,0,0,
0.828157662347344,10.19816,85.92334,1.142979,0.386892,0.954713,0.228207,0.513635,0,0.65208,
0.831991725598952,11.50652,85.69363,1.115767,0.423929,1.193079,0,0.067072,0,0,
0.83582578885056,11.28508,85.57586,0.612248,0.468412,0.54785,0.291374,0.68864,0.530537,0,
0.839659852102168,12.40905,85.30041,0.811254,0.63109,0,0,0,0.848193,0,
0.843493915353776,13.17672,85.24578,0.631879,0.546813,0.259249,0,0.139558,0,0,
0.847327978605384,11.45402,84.57173,1.371459,0.753535,0.455606,0.92564,0,0.468003,0,
0.851162041856992,12.45302,85.46825,0.771164,1.192059,0,0.115509,0,0,0,
0.8549961051086,10.95623,87.57721,0.699675,0.436196,0,0,0.330684,0,0,
0.858830168360208,12.8977,83.56898,1.05071,0.893106,0.513746,0.406279,0,0.669482,0,
0.862664231611816,12.84227,84.18356,1.290893,0.408681,0.23065,0.290033,0,0.753908,0,
0.866498294863425,11.60083,85.368,0.933084,0.567252,0.907518,0,0.208071,0,0.415246,
0.870332358115033,10.9764,86.6936,0.60225,0.938329,0.285601,0,0,0.503818,0,
0.874166421366641,11.34496,84.58582,0.525161,0.795223,0.937609,0.516046,1.020619,0.274559,0,
0.878000484618249,12.0256,84.71591,0.903233,0.434608,0.85124,0.047378,0.075887,0.946144,0,
0.881834547869857,11.57363,85.17458,1.047919,0.65288,0.957018,0.225808,0.166907,0,0.201257,
0.885668611121465,12.76499,84.08514,0.357915,0.791704,0.854515,0.143009,0,0.684876,0.317862,
0.889502674373073,11.66356,85.33476,0.385133,0.375108,1.679659,0,0,0.561779,0,
0.893336737624681,11.65214,85.79023,0.563432,0.383817,0.546861,0,0,0.614271,0.449244,
0.897170800876289,12.11701,85.36388,0.355927,0.533557,1.56755,0,0.014364,0,0.047708,
0.901004864127897,12.99825,83.81802,1.021285,1.061947,0.530347,0,0.135542,0.43461,0,
0.904838927379505,12.84932,85.71741,0.740888,0.69239,0,0,0,0,0,
0.908672990631113,10.87585,84.89246,0.817034,1.056793,0.697208,0,1.660663,0,0,
0.912507053882721,12.11017,85.63607,0.746693,0.623204,0.390619,0.493248,0,0,0,
0.916341117134329,12.83979,84.18141,0.592816,0.588493,1.583813,0,0,0.213676,0,
